id,State,source,Agricultural_2018,Non_Agricultural_2018,Agricultural_2017,Non_Agricultural_2017,Agricultural_2016,Non_Agricultural_2016,Agricultural_2015,Non_Agricultural_2015,Agricultural_2014,Non_Agricultural_2014,Agricultural_2013,Non_Agricultural_2013,Agricultural_2012,Non_Agricultural_2012,Agricultural_2011,Non_Agricultural_2011,Agricultural_2010,Non_Agricultural_2010,source_ab,target_ab
1192,Assam,Uttar Pradesh,24939884892,7284742974,3287787026,4843411779,6462837458,4315146560,5711647899,3481307524,1449484942,2333136483,874665939,465465258,327647742,1833060965,2094980104,251502077,937821161,932162690,UP,AS
1193,Bihar,Uttar Pradesh,6360442211,93391525797,1486374935,1.02676E+11,612946696,1.20425E+11,537665880,83082278569,0,24869810398,71037000,16849115529,259397650,18799542867,239194900,1067063181,726473469,9740775783,UP,BR
1194,Chandigarh,Uttar Pradesh,0,220212642,0,706669810,0,377874746,0,365403447,37254000,345175544,196254348,1313469950,283969800,1426161667,0,0,116721000,556174680,UP,CN
1195,Chattisgarh,Uttar Pradesh,0,2486066068,0,2252563475,0,2459655766,0,2804205293,0,1839299061,32927950,1629222698,145065600,808772290,0,37578755,0,573849735,UP,CH
1196,Dadra & Nagar Haveli,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UP,DN
1197,Daman & Diu,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UP,DD
1198,Delhi,Uttar Pradesh,0,0,0,0,40351500,976640,0,143632762,70569900,233001522,105097500,259534497,100037250,89669280,0,0,170742000,65106175,UP,DL
1199,Goa,Uttar Pradesh,0,0,0,0,0,734903477,1115340000,0,107772000,0,0,0,0,0,0,0,0,0,UP,GA
1200,Gujarat,Uttar Pradesh,0,7136791199,0,5508149279,0,8806360891,11366357272,15267636887,5482854675,294147758,9169942350,194146971,1101403650,235574713,1539098400,122944273,179190500,2027186504,UP,GJ
1201,Haryana,Uttar Pradesh,604240500,7638825733,107949150,7946504608,76725250,9521732087,37923600,9082875573,180994350,7652407801,100382500,7555496087,178310700,8161439915,0,0,10395000,5088555610,UP,HR
1202,Himachal Pradesh,Uttar Pradesh,0,0,0,0,0,0,37497000,0,0,0,35842500,1995853897,0,541447906,0,0,0,59932051,UP,HP
1203,Jammu & Kashmir,Uttar Pradesh,1518229100,1724398691,0,1593291101,0,2646009897,0,1602884225,0,885762699,426235500,3091913997,845889800,2142737113,354894400,92667876,636658000,1287535278,UP,JK
1204,Jharkhand,Uttar Pradesh,0,4891284503,0,5560593831,0,3736790787,0,2655632552,0,2494010107,0,2226030980,67334000,2485551547,0,0,57640000,1154912350,UP,JH
1205,Karnataka,Uttar Pradesh,5099504372,0,6812016250,0,6330580000,0,14882988500,0,9625924611,0,1931223784,1036833,3363928214,901624,2551848841,0,3859485300,832200,UP,KA
1206,Kerala,Uttar Pradesh,6507820661,0,6514703216,0,9517069724,0,7974614536,0,53579253309,0,6074306701,0,2905910190,81340698,589778074,15741432,2031138201,62839899,UP,KL
1207,Lakshadeep,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UP,LD
1208,Madhya Pradesh,Uttar Pradesh,0,11279218068,0,7295465229,0,4646224997,0,4518315305,0,1158964853,0,912821292,17630200,1208050974,0,151118946,74063000,1005553405,UP,MP
1209,Maharashtra,Uttar Pradesh,960294125,1227110075,1337261250,3911168551,0,4569244720,387237000,1661222511,3844926504,224414573,337863566,285957001,436405840,828458440,373202300,119171402,1094173706,9251322225,UP,MH
1210,Manipur,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UP,MN
1211,Meghalaya,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UP,ML
1212,Mizoram,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UP,MZ
1213,Nagaland,Uttar Pradesh,2704024150,339634338,313007500,90271264,149450000,0,38628000,0,70649550,0,56497590,0,35093350,0,93207650,0,80806000,0,UP,NL
1214,Odisha,Uttar Pradesh,7593730650,4167793096,1850322500,5406030626,6057147500,7457071693,6767860500,5873069999,111762000,5073670020,23557500,4227307007,260079450,4724189147,278958400,0,380777625,2780312404,UP,OD
1215,Puducherry,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57673000,0,UP,PD
1216,Punjab,Uttar Pradesh,0,9286830776,0,11026735439,0,11974240088,0,11061940196,146332950,11397055532,2236183850,9704200499,2341455000,11421175898,231492000,15770664,1982340950,6638322134,UP,PN
1217,Rajasthan,Uttar Pradesh,0,622221979,0,2257385501,0,1511608899,0,1376767170,35476000,1096570154,17820000,1033013069,63928750,1175140995,0,281655192,0,1838689083,UP,RJ
1218,Sikkim,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UP,SK
1219,Tamil Nadu,Uttar Pradesh,7146162494,107755080,4224531646,0,1504301776,0,11224900866,0,21418403834,51884649,4100509214,0,2916808400,0,1961254750,0,2069439859,0,UP,TN
1220,Telangana,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UP,TE
1221,Tripura,Uttar Pradesh,1740000900,78922186,86141250,50995008,402600000,0,38584500,25160862,37380000,48036432,17941500,0,34116750,38252543,59404800,0,877837250,35307113,UP,TR
1222,Uttar Pradesh,Uttar Pradesh,16280242283,2.70712E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UP,UP
1223,Uttarakhand,Uttar Pradesh,0,9057489291,0,11689028703,0,9645350037,13041000,3956668984,0,2976181139,0,2227543591,0,2188990613,0,0,0,1652089761,UP,UR
1224,West Bengal,Uttar Pradesh,1190423550,38331003066,2083071300,25462054488,5230708380,24259637402,8844840500,19370458999,2812334000,16468605366,1916279863,16521931475,638017302,13695507405,29769600,1290585252,164224175,9077910537,UP,WB
1225,Andaman & Nicobar Islands,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,AN
1226,Andhra Pradesh,Uttarakhand,0,0,116428294,0,125378271,0,609692998,0,5307898631,0,498535508,0,29072250,114409903,0,9875448,0,185906924,UR,AP
1227,Arunachal Pradesh,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,AR
1228,Assam,Uttarakhand,430101500,0,2941350350,90373381,2150090800,0,295954800,0,1164336975,0,1442087350,1212290,1245956700,0,1957468100,25165545,1016675750,0,UR,AS
1229,Bihar,Uttarakhand,1313907000,0,3863714650,1267678148,1821488150,0,1626825300,0,283330500,11892660,377884000,78740132,169658550,0,115872750,0,0,0,UR,BR
1230,Chandigarh,Uttarakhand,83508300,0,157791000,0,0,0,0,0,70808850,0,267345100,0,0,0,108067050,0,127659850,0,UR,CN
1231,Chattisgarh,Uttarakhand,0,0,0,0,0,0,0,0,33466275,0,31890650,0,29072250,0,0,0,0,0,UR,CH
1232,Dadra & Nagar Haveli,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,DN
1233,Daman & Diu,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,DD
1234,Delhi,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,DL
1235,Goa,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,GA
1236,Gujarat,Uttarakhand,0,0,0,0,0,0,36390600,0,0,0,146360500,0,364974450,0,53835600,0,0,0,UR,GJ
1237,Haryana,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28501000,0,UR,HR
1238,Himachal Pradesh,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76341150,0,UR,HP
1239,Jammu & Kashmir,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50739700,0,UR,JK
1240,Jharkhand,Uttarakhand,0,0,0,0,0,53926850,0,0,0,0,0,0,0,0,0,0,0,0,UR,JH
1241,Karnataka,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,KA
1242,Kerala,Uttarakhand,811896951,0,1508705693,0,746377795,0,2038544488,0,7761748117,0,0,0,0,0,141498411,0,0,0,UR,KL
1243,Lakshadeep,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,LD
1244,Madhya Pradesh,Uttarakhand,0,0,0,0,0,0,64716529,0,0,0,0,0,0,0,0,0,101894350,0,UR,MP
1245,Maharashtra,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,144796221,0,0,0,0,0,UR,MH
1246,Manipur,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,MN
1247,Meghalaya,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,ML
1248,Mizoram,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,MZ
1249,Nagaland,Uttarakhand,0,0,65551400,0,113885200,0,0,0,0,0,0,0,0,0,66147550,0,101846100,0,UR,NL
1250,Odisha,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,OD
1251,Puducherry,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,PD
1252,Punjab,Uttarakhand,0,0,0,0,0,0,38052300,0,0,0,0,0,0,0,0,0,0,0,UR,PN
1253,Rajasthan,Uttarakhand,83649600,0,39544600,0,0,3623623,0,5315675,0,0,0,0,0,0,0,0,0,0,UR,RJ
1254,Sikkim,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,SK
1255,Tamil Nadu,Uttarakhand,402360740,0,752754510,0,500570393,0,243134174,0,0,0,257060611,273399800,120855621,1126295549,0,233424340,305943600,633643132,UR,TN
1256,Telangana,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,TE
1257,Tripura,Uttarakhand,0,0,592096200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,TR
1258,Uttar Pradesh,Uttarakhand,0,73759140,40379000,188306580,0,146872320,694429800,442801320,0,492614970,539208758,0,530691371,97848323,0,0,493323175,0,UR,UP
1259,Uttarakhand,Uttarakhand,0,6772740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UR,UR
1260,West Bengal,Uttarakhand,563913182,44002616,41876250,1159778731,0,53804706,0,157284921,0,49436095,0,0,0,8831243,0,0,0,7214846,UR,WB
1261,Andaman & Nicobar Islands,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WB,AN
1262,Andhra Pradesh,West Bengal,482125000,21890259542,182621250,17999763099,0,8916113382,375788270,6327453783,1674043450,6557596577,2087380975,3587013692,294705250,6132812984,27039600,5270857103,114975676,2597408101,WB,AP
1263,Arunachal Pradesh,West Bengal,0,13086060,0,0,0,0,0,0,0,0,0,0,29006550,0,0,0,0,0,WB,AR
1264,Assam,West Bengal,5378596311,15617747659,3323577350,15617039097,7698022970,7061354908,3152311897,3539959828,4250851103,6562528589,1923427405,4046909732,4005039426,5736990773,6590511840,5068143238,2545086707,4145394598,WB,AS
1265,Bihar,West Bengal,212075607,72030874579,219465320,61328202199,150474794,62958726390,215621024,27069073540,750072297,65401503606,1138766250,37166306454,33101600,35412794471,798947039,27203785754,2934973983,25524470845,WB,BR
1266,Chandigarh,West Bengal,0,649320644,0,776617581,0,351337413,0,98954336,0,0,54712807,0,0,0,0,0,0,0,WB,CN
1267,Chattisgarh,West Bengal,0,4682167976,83948450,4626817133,0,3137607314,0,4843356936,0,1595315270,0,759016330,0,1253622250,0,1322169333,33531635,910630237,WB,CH
1268,Dadra & Nagar Haveli,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WB,DN
1269,Daman & Diu,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WB,DD
1270,Delhi,West Bengal,0,5040222972,0,3525081717,0,5248377432,0,2332710458,0,3297731801,0,2609716309,0,2385579190,0,2565231520,0,2544706686,WB,DL
1271,Goa,West Bengal,0,0,0,0,0,1966861820,0,2335233247,0,0,0,0,0,0,0,0,0,0,WB,GA
1272,Gujarat,West Bengal,0,293106638,0,442411939,37098250,8121917,367109600,4397970,246198150,126711236,135141000,222444557,0,1267911724,23957325,569419582,185406650,563502524,WB,GJ
1273,Haryana,West Bengal,0,22717992748,1952000,5099164186,0,10701034509,0,4807460114,146892750,1114803277,0,0,0,0,0,0,0,1209101994,WB,HR
1274,Himachal Pradesh,West Bengal,0,0,0,0,0,0,0,0,0,0,71021250,0,0,0,24326325,0,0,0,WB,HP
1275,Jammu & Kashmir,West Bengal,0,565898104,0,224331712,0,289748319,0,153380477,0,1138662548,0,1489637954,0,1627523262,0,1380105289,0,1447615742,WB,JK
1276,Jharkhand,West Bengal,0,80416857531,0,72422452468,0,53387433809,0,46269241424,69481350,23409799847,166461350,24976464981,0,20088124438,26004300,23179238369,810695000,22432842260,WB,JH
1277,Karnataka,West Bengal,440595750,772331578,447988200,769997111,354441500,365582999,232235970,453296665,2602043651,1928870716,917816591,1730327701,86815971,2113597771,24409350,2307512021,130063713,2964969722,WB,KA
1278,Kerala,West Bengal,0,83636098,0,225243292,0,28426712,76018800,1099492,1828724843,0,602957207,0,473439812,0,439219757,26629656,334167310,241762956,WB,KL
1279,Lakshadeep,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WB,LD
1280,Madhya Pradesh,West Bengal,0,1272727335,0,704198393,1728000,1413041288,35750000,934931995,0,6533725510,165612127,7094545323,0,7451120436,0,3198066009,0,5056037209,WB,MP
1281,Maharashtra,West Bengal,0,11989450083,241838850,8747566961,76442625,7991507293,368623970,2963629428,108536250,10123792401,99576875,10334779368,24806600,6655153798,24409350,4754566146,0,2843089603,WB,MH
1282,Manipur,West Bengal,0,0,0,0,0,136607586,0,0,0,0,0,0,0,0,0,0,0,0,WB,MN
1283,Meghalaya,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WB,ML
1284,Mizoram,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WB,MZ
1285,Nagaland,West Bengal,906480798,65395720,332169369,49608533,1427961885,6814080,473826634,78522714,793002906,196962660,277126168,194861400,502132527,113980310,836131147,227440776,249722625,171347123,WB,NL
1286,Odisha,West Bengal,0,52228000517,66335130,28205068157,0,12497554941,0,12306761551,0,6894858738,0,5021170106,0,7613795246,36687457,6557820124,0,5746608584,WB,OD
1287,Puducherry,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WB,PD
1288,Punjab,West Bengal,0,18772728170,121885050,18842882393,158240250,17118891814,152252100,4523327693,118425861,8646288361,35510625,7573037623,26887350,9775581582,0,9260372111,0,8849139732,WB,PN
1289,Rajasthan,West Bengal,0,2355140372,0,3579850192,0,3208318758,0,880944952,0,2848186641,0,2076737685,0,1646079570,0,2369702334,0,2303737495,WB,RJ
1290,Sikkim,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WB,SK
1291,Tamil Nadu,West Bengal,926760625,2612845951,1320968050,1596874538,316391250,388079423,617636309,509449035,5129006981,1298798110,103923750,2203433465,34232400,4512155294,51478909,5590542420,311139007,4044008571,WB,TN
1292,Telangana,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WB,TE
1293,Tripura,West Bengal,207621811,964624152,378153100,396230077,0,0,0,52152679,118277892,196493741,108810173,115649127,227101893,54316073,131285499,116604277,376562854,45440579,WB,TR
1294,Uttar Pradesh,West Bengal,0,40558382380,0,49086796441,0,49195558407,0,21030786046,102880500,36166107879,97335000,17334167614,866382939,16288904047,56091000,14110504462,471438950,14021682327,WB,UP
1295,Uttarakhand,West Bengal,0,45555759,324249150,0,79164750,0,113284600,64310896,72975700,0,0,0,0,0,0,0,0,63307934,WB,UR
1296,West Bengal,West Bengal,1040007388,2.87736E+11,78493200,10977164957,40351500,11925782307,38052300,3503217676,2480119500,15624425556,870996950,15001018493,538206400,14819921405,959595308,12582205295,1608905025,13366817184,WB,WB
